# scout01 2대 동시 게이트 전 구간 참값 대조 1 Hz 다운샘플 (원본 10 Hz 38454행) — RTF(Δt_sim/Δt_wall)·통로 내 횡오차의 근거
# t_wall_s 는 참값 기록 시작 기준. gt=gz 참값, est=map→base_link TF.
t_wall_s,t_sim_s,gt_x,gt_y,gt_yaw_deg,est_x,est_y,est_yaw_deg,err_x,err_y,err_yaw_deg
1.493,9328.700,-64.4167,35.9410,-90.000,-64.5068,35.8629,-89.408,-0.0901,-0.0781,0.592
4.043,9329.700,-64.4167,35.9410,-90.000,-64.5066,35.8603,-89.425,-0.0899,-0.0807,0.575
6.643,9330.700,-64.4167,35.9410,-90.000,-64.5097,35.8642,-89.417,-0.0930,-0.0768,0.583
9.260,9331.700,-64.4167,35.9410,-90.000,-64.5098,35.8611,-89.417,-0.0931,-0.0799,0.583
11.900,9332.700,-64.4167,35.9410,-90.000,-64.5148,35.8614,-89.400,-0.0981,-0.0796,0.600
14.482,9333.700,-64.4167,35.9410,-90.000,-64.5123,35.8575,-89.408,-0.0956,-0.0835,0.592
17.076,9334.700,-64.4167,35.9410,-90.000,-64.5065,35.8584,-89.425,-0.0898,-0.0826,0.575
19.753,9335.700,-64.4167,35.9410,-90.000,-64.5105,35.8635,-89.417,-0.0938,-0.0775,0.583
22.351,9336.700,-64.4167,35.9410,-90.000,-64.5098,35.8572,-89.408,-0.0931,-0.0838,0.592
24.981,9337.700,-64.4167,35.9410,-90.000,-64.5036,35.8614,-89.417,-0.0869,-0.0796,0.583
27.613,9338.700,-64.4172,35.9229,-89.846,-64.5079,35.8410,-89.243,-0.0907,-0.0819,0.602
30.290,9339.700,-64.4174,35.6716,-86.149,-64.4143,35.6283,-85.741,0.0030,-0.0433,0.407
32.928,9340.700,-64.3987,35.4027,-87.094,-64.4895,35.3625,-86.599,-0.0908,-0.0403,0.496
35.699,9341.700,-64.3853,35.1367,-88.697,-64.4560,35.1032,-88.288,-0.0707,-0.0336,0.409
38.358,9342.700,-64.3770,34.8634,-89.308,-64.4109,34.8494,-88.988,-0.0338,-0.0140,0.319
