# scout01 구동감시 오탐 자력회복 건 — 후진 재시도로 9초 만에 해제 (10 Hz)
# t_wall_s 는 참값 기록 시작 기준. gt=gz 참값, est=map→base_link TF.
t_wall_s,t_sim_s,gt_x,gt_y,gt_yaw_deg,est_x,est_y,est_yaw_deg,err_x,err_y,err_yaw_deg
2317.972,10155.100,-59.6627,38.7940,92.015,-59.5416,38.7760,90.005,0.1211,-0.0180,-2.009
2318.263,10155.200,-59.6637,38.8220,92.016,-59.5416,38.8040,90.007,0.1221,-0.0180,-2.009
2318.587,10155.300,-59.6646,38.8500,92.015,-59.5416,38.8320,90.007,0.1230,-0.0180,-2.008
2318.895,10155.400,-59.6656,38.8779,92.016,-59.5416,38.8600,90.008,0.1240,-0.0179,-2.008
2319.226,10155.500,-59.6666,38.9059,92.015,-59.5416,38.8880,90.007,0.1250,-0.0179,-2.008
2319.526,10155.600,-59.6676,38.9339,92.016,-59.5416,38.9160,90.008,0.1260,-0.0179,-2.008
2319.808,10155.700,-59.6686,38.9619,92.016,-59.5416,38.9440,90.008,0.1270,-0.0179,-2.008
2320.091,10155.800,-59.6696,38.9898,92.015,-59.5416,38.9720,90.007,0.1279,-0.0178,-2.008
2320.380,10155.900,-59.6705,39.0178,92.014,-59.5416,39.0000,90.005,0.1289,-0.0178,-2.008
2320.685,10156.000,-59.6715,39.0457,92.014,-59.5416,39.0280,90.005,0.1299,-0.0178,-2.008
2320.980,10156.100,-59.6724,39.0737,92.011,-59.5416,39.0560,90.004,0.1308,-0.0177,-2.007
2321.297,10156.200,-59.6733,39.1017,92.010,-59.5416,39.0840,90.003,0.1317,-0.0177,-2.008
2321.579,10156.300,-59.6742,39.1296,92.009,-59.5416,39.1120,90.001,0.1326,-0.0176,-2.008
2321.864,10156.400,-59.6752,39.1576,92.007,-59.5416,39.1400,90.000,0.1335,-0.0176,-2.008
2322.194,10156.500,-59.6762,39.1856,92.004,-59.5416,39.1680,89.996,0.1345,-0.0176,-2.008
2322.456,10156.600,-59.6772,39.2135,92.004,-59.5416,39.1960,89.996,0.1355,-0.0175,-2.008
2322.742,10156.700,-59.6781,39.2415,92.003,-59.5416,39.2240,89.995,0.1365,-0.0175,-2.008
2323.059,10156.800,-59.6792,39.2694,92.002,-59.5416,39.2520,89.993,0.1376,-0.0174,-2.008
2323.366,10156.900,-59.6802,39.2974,92.003,-59.5416,39.2800,89.994,0.1386,-0.0174,-2.008
2323.698,10157.000,-59.6812,39.3253,92.002,-59.5416,39.3080,89.994,0.1396,-0.0173,-2.008
2324.013,10157.100,-59.6822,39.3533,92.002,-59.5416,39.3360,89.994,0.1406,-0.0173,-2.008
2324.319,10157.200,-59.6832,39.3812,92.001,-59.5416,39.3640,89.993,0.1416,-0.0173,-2.008
2324.632,10157.300,-59.6842,39.4092,92.000,-59.5416,39.3920,89.992,0.1426,-0.0172,-2.008
2324.909,10157.400,-59.6853,39.4371,92.000,-59.5416,39.4200,89.992,0.1436,-0.0172,-2.008
2325.185,10157.500,-59.6863,39.4650,92.000,-59.5416,39.4480,89.992,0.1447,-0.0171,-2.008
2325.456,10157.600,-59.6873,39.4930,92.001,-59.5416,39.4759,89.993,0.1457,-0.0170,-2.008
2325.727,10157.700,-59.6882,39.5210,92.000,-59.5416,39.5039,89.992,0.1466,-0.0170,-2.008
2326.022,10157.800,-59.6892,39.5489,92.000,-59.5416,39.5319,89.992,0.1476,-0.0170,-2.009
2326.362,10157.900,-59.6902,39.5769,92.002,-59.5416,39.5599,89.993,0.1486,-0.0169,-2.008
2326.654,10158.000,-59.6911,39.6048,92.003,-59.5416,39.5879,89.994,0.1496,-0.0169,-2.008
