# scout02 통로 16 구동감시 오탐 정지 — 추정 점프 순간 전후 90/60초 (10 Hz)
# t_wall_s 는 참값 기록 시작 기준. gt=gz 참값, est=map→base_link TF.
t_wall_s,t_sim_s,gt_x,gt_y,gt_yaw_deg,est_x,est_y,est_yaw_deg,err_x,err_y,err_yaw_deg
7565.186,12014.800,14.7552,61.0293,87.669,15.0203,61.0238,87.972,0.2651,-0.0056,0.303
7565.493,12014.900,14.7563,61.0559,87.416,15.0003,61.0547,87.662,0.2439,-0.0012,0.246
7565.792,12015.000,14.7575,61.0820,87.095,15.0014,61.0807,87.334,0.2439,-0.0013,0.239
7566.084,12015.100,14.7582,61.1084,87.073,15.1476,61.1193,87.315,0.3893,0.0109,0.242
7566.416,12015.200,14.7593,61.1319,87.655,15.1486,61.1436,87.922,0.3893,0.0117,0.267
7566.705,12015.300,14.7616,61.1557,88.069,15.0815,61.1714,88.272,0.3199,0.0157,0.203
7566.973,12015.400,14.7627,61.1827,88.204,15.0823,61.1987,88.391,0.3195,0.0160,0.187
7567.265,12015.500,14.7640,61.2095,88.337,15.0848,61.2297,88.447,0.3208,0.0202,0.111
7567.564,12015.600,14.7653,61.2362,88.462,15.0778,61.2619,88.562,0.3125,0.0257,0.099
7567.851,12015.700,14.7663,61.2634,88.558,15.0785,61.2893,88.660,0.3121,0.0259,0.102
7568.160,12015.800,14.7672,61.2907,88.640,15.0945,61.3135,88.771,0.3273,0.0228,0.131
7568.463,12015.900,14.7680,61.3179,88.779,15.0951,61.3406,88.906,0.3271,0.0228,0.127
7568.741,12016.000,14.7687,61.3448,88.937,15.1057,61.3642,89.076,0.3370,0.0194,0.139
7569.032,12016.100,14.7693,61.3719,89.122,15.1061,61.3910,89.258,0.3368,0.0192,0.136
7569.309,12016.200,14.7698,61.3988,89.324,15.1267,61.4216,89.412,0.3569,0.0228,0.088
7569.579,12016.300,14.7706,61.4259,89.578,15.1269,61.4480,89.668,0.3563,0.0220,0.091
7569.879,12016.400,14.7712,61.4526,89.880,15.1362,61.4708,89.957,0.3651,0.0182,0.077
7570.181,12016.500,14.7715,61.4791,90.177,15.1362,61.4969,90.244,0.3647,0.0178,0.068
7570.480,12016.600,14.7721,61.5045,90.497,15.1439,61.5401,90.525,0.3719,0.0356,0.028
7570.770,12016.700,14.7723,61.5302,90.825,15.1436,61.5661,90.864,0.3713,0.0360,0.039
